Acres,FamilyIncome,FamilyType,NumBedrooms,NumChildren,NumPeople,NumRooms,NumUnits,NumVehicles,NumWorkers,OwnRent,YearBuilt,HouseCosts,ElectricBill,FoodStamp,HeatingFuel,Insurance,Language,LogFamilyIncome,FamilyIncomeGreaterThanOrEqualTo150000
10-Jan,150,Married,4,1,3,9,Single detached,1,0,Mortgage,1950-1959,1800,90,No,Gas,2500,English,5.010635294,FALSE
10-Jan,180,Female Head,3,2,4,6,Single detached,2,0,Rented,Before 1939,850,90,No,Oil,0,English,5.192956851,FALSE
10-Jan,280,Female Head,4,0,2,8,Single detached,3,1,Mortgage,2000-2004,2600,260,No,Oil,6600,Other European,5.634789603,FALSE
10-Jan,330,Female Head,2,1,2,4,Single detached,1,0,Rented,1950-1959,1800,140,No,Oil,0,English,5.799092654,FALSE
10-Jan,330,Male Head,3,1,2,5,Single attached,1,0,Mortgage,Before 1939,860,150,No,Gas,660,Spanish,5.799092654,FALSE
10-Jan,480,Male Head,0,3,4,1,Single detached,0,0,Rented,Before 1939,700,140,No,Gas,0,English,6.173786104,FALSE
10-Jan,520,Male Head,3,2,3,8,Mobile home,0,0,Mortgage,1980-1989,270,130,Yes,Wood,100,English,6.253828812,FALSE
10-Jan,550,Male Head,3,1,2,5,Single detached,1,1,Rented,2007,800,1,Yes,Gas,0,English,6.309918278,FALSE
10-Jan,1400,Female Head,3,1,4,9,Single detached,2,1,Mortgage,Before 1939,710,150,No,Gas,1000,English,7.244227516,FALSE
10-Jan,1400,Female Head,3,2,3,7,Single detached,1,1,Mortgage,1980-1989,1500,300,No,Electricity,0,English,7.244227516,FALSE
10-Jan,1730,Married,5,0,2,8,Single detached,3,0,Mortgage,2000-2004,1500,170,No,Gas,600,English,7.455876687,FALSE
10-Jan,1800,Female Head,3,3,6,6,Single attached,1,0,Rented,Before 1939,500,150,Yes,Electricity,0,English,7.495541944,FALSE
10-Jan,1850,Female Head,3,2,4,7,Single detached,3,1,Rented,1970-1979,500,170,Yes,Electricity,0,English,7.522940918,FALSE
10-Jan,2000,Married,3,0,3,6,Single detached,2,1,Mortgage,1970-1979,2200,170,No,Oil,750,English,7.60090246,FALSE
10-Jan,2000,Married,5,6,8,8,Single detached,0,1,Mortgage,2000-2004,900,2,No,Wood,0,Other European,7.60090246,FALSE
10-Jan,2600,Male Head,3,3,4,5,Single detached,1,0,Mortgage,1980-1989,1300,110,Yes,Gas,600,Other European,7.863266724,FALSE
10-Jan,2730,Married,4,0,4,9,Single detached,4,2,Mortgage,1950-1959,530,140,No,Oil,750,Spanish,7.912056888,FALSE
10-Jan,3430,Married,4,0,4,7,Single detached,1,0,Mortgage,Before 1939,580,160,No,Oil,600,Other European,8.14031554,FALSE
10-Jan,3500,Married,2,0,2,4,Mobile home,3,1,Mortgage,2000-2004,500,110,No,Oil,460,English,8.160518247,FALSE
10-Jan,3580,Female Head,3,2,3,4,Single detached,1,1,Mortgage,2000-2004,200,80,No,Gas,400,English,8.183118079,FALSE
10-Jan,3600,Female Head,3,2,6,6,Single detached,2,0,Rented,1980-1989,500,240,Yes,Oil,0,English,8.188689124,FALSE
10-Jan,3660,Female Head,2,0,2,6,Single detached,2,0,Mortgage,1940-1949,550,130,Yes,Wood,640,English,8.205218426,FALSE
10-Jan,3700,Female Head,2,1,3,6,Single detached,2,1,Rented,1950-1959,600,80,No,Gas,0,English,8.216088099,FALSE
10-Jan,4000,Married,2,0,2,6,Single detached,2,1,Mortgage,1970-1979,680,100,No,Oil,700,English,8.29404964,FALSE
10-Jan,4400,Female Head,3,2,3,5,Single detached,0,1,Rented,Before 1939,1200,120,No,Gas,0,Spanish,8.38935982,FALSE
10-Jan,4500,Female Head,3,1,2,9,Single detached,1,0,Mortgage,1980-1989,1500,200,No,Oil,600,English,8.411832676,FALSE
10-Jan,4550,Female Head,2,1,2,5,Single detached,0,1,Rented,1950-1959,1400,100,No,Gas,0,Spanish,8.422882512,FALSE
10-Jan,4970,Female Head,3,1,3,7,Single detached,1,1,Rented,1940-1949,400,70,Yes,Gas,0,English,8.511175119,FALSE
10-Jan,5000,Female Head,4,0,2,6,Single detached,1,0,Mortgage,1980-1989,800,200,No,Gas,500,Other European,8.517193191,FALSE
10-Jan,5000,Female Head,4,1,3,8,Single detached,3,1,Mortgage,1990-1999,1600,280,No,Oil,1000,English,8.517193191,FALSE
10-Jan,5140,Female Head,2,1,3,3,Mobile home,1,1,Rented,1970-1979,400,80,No,Oil,0,English,8.544808358,FALSE
10-Jan,5200,Female Head,2,3,4,4,Single attached,1,1,Rented,1960-1969,1000,120,Yes,Gas,0,Other,8.556413905,FALSE
10-Jan,5500,Female Head,2,2,3,3,Single detached,1,0,Rented,2000-2004,500,50,Yes,Oil,0,English,8.612503371,FALSE
10-Jan,5500,Married,3,3,5,5,Single detached,2,1,Rented,1970-1979,450,60,Yes,Wood,0,English,8.612503371,FALSE
10-Jan,5610,Female Head,3,0,2,7,Mobile home,1,1,Mortgage,1990-1999,200,140,No,Gas,400,English,8.632305999,FALSE
10-Jan,5700,Female Head,4,2,5,6,Single detached,0,0,Rented,1960-1969,830,80,Yes,Gas,0,English,8.648221454,FALSE
10-Jan,5800,Married,3,0,2,6,Single detached,2,0,Mortgage,1950-1959,900,400,No,Electricity,2000,English,8.665613197,FALSE
10-Jan,6180,Married,4,0,2,8,Single detached,3,1,Mortgage,2000-2004,440,160,No,Oil,880,Other European,8.72907355,FALSE
10-Jan,6300,Married,3,2,4,6,Single detached,2,0,Rented,1960-1969,950,160,No,Oil,0,English,8.748304912,FALSE
10-Jan,6750,Female Head,4,0,4,7,Single detached,3,0,Rented,Before 1939,500,60,Yes,Oil,0,English,8.817297784,FALSE
10-Jan,6800,Female Head,3,2,5,6,Single detached,2,0,Rented,Before 1939,600,150,Yes,Oil,0,English,8.824677891,FALSE
10-Jan,6990,Married,5,7,9,7,Mobile home,1,0,Rented,1970-1979,500,400,Yes,Oil,0,English,8.852235835,FALSE
10-Jan,7000,Female Head,3,0,3,7,Mobile home,1,1,Rented,1980-1989,800,200,No,Oil,0,English,8.853665428,FALSE
10-Jan,7000,Married,3,3,6,5,Single detached,2,1,Mortgage,1990-1999,1400,300,No,Other,1700,Spanish,8.853665428,FALSE
10-Jan,7200,Female Head,5,0,3,9,Single detached,3,0,Mortgage,1990-1999,530,270,No,Oil,2600,English,8.881836305,FALSE
10-Jan,7200,Married,5,0,2,11,Single detached,1,0,Rented,1940-1949,300,40,No,Oil,0,English,8.881836305,FALSE
10-Jan,7600,Male Head,4,0,2,7,Single detached,2,0,Mortgage,Before 1939,470,230,No,Gas,640,English,8.935903526,FALSE
10-Jan,8000,Female Head,3,2,4,8,Single detached,2,1,Mortgage,1980-1989,200,170,Yes,Wood,120,English,8.987196821,FALSE
10-Jan,8000,Male Head,4,1,3,9,Single detached,4,1,Mortgage,Before 1939,890,100,No,Coal,450,English,8.987196821,FALSE
10-Jan,8400,Female Head,2,1,2,4,Single detached,0,0,Rented,1940-1949,1300,170,Yes,Electricity,0,Spanish,9.035986985,FALSE
10-Jan,8400,Female Head,3,1,2,5,Mobile home,1,0,Rented,1980-1989,400,100,Yes,Gas,0,English,9.035986985,FALSE
10-Jan,8600,Male Head,4,1,4,7,Single detached,2,1,Rented,1940-1949,550,180,Yes,Gas,0,English,9.059517482,FALSE
10-Jan,8700,Married,5,3,5,10,Mobile home,3,1,Mortgage,1990-1999,330,280,No,Gas,0,English,9.071078305,FALSE
10-Jan,8800,Female Head,3,0,2,5,Single attached,0,0,Rented,1940-1949,600,90,Yes,None,0,Spanish,9.082507,FALSE
10-Jan,8930,Female Head,3,1,3,6,Single detached,1,0,Rented,1960-1969,750,320,Yes,Gas,0,English,9.097171674,FALSE
10-Jan,9000,Female Head,2,1,2,5,Mobile home,1,1,Rented,1970-1979,400,90,No,Oil,0,English,9.104979856,FALSE
10-Jan,9100,Male Head,3,1,4,5,Single detached,2,1,Mortgage,1950-1959,1300,200,No,Wood,500,Other European,9.116029693,FALSE
10-Jan,9400,Female Head,3,2,4,7,Single detached,1,1,Rented,1960-1969,530,130,Yes,Gas,0,English,9.148464968,FALSE
10-Jan,9500,Female Head,3,1,3,5,Single detached,1,1,Rented,1970-1979,800,130,Yes,Oil,0,English,9.159047078,FALSE
10-Jan,9500,Female Head,4,2,4,10,Single detached,2,1,Mortgage,Before 1939,900,180,No,Oil,0,English,9.159047078,FALSE
10-Jan,9800,Female Head,3,2,3,6,Single attached,0,1,Rented,1990-1999,560,110,Yes,Gas,0,English,9.190137665,FALSE
10-Jan,9800,Female Head,3,2,4,5,Mobile home,2,1,Mortgage,1960-1969,400,130,Yes,Gas,0,English,9.190137665,FALSE
10-Jan,9900,Married,8,8,10,9,Single detached,0,3,Mortgage,Before 1939,490,2,No,Wood,0,Other European,9.200290036,FALSE
10-Jan,10000,Female Head,2,0,2,5,Single detached,0,1,Rented,1970-1979,1200,60,Yes,Electricity,0,Spanish,9.210340372,FALSE
10-Jan,10000,Female Head,4,2,3,9,Single detached,1,1,Rented,Before 1939,750,100,No,Oil,0,English,9.210340372,FALSE
10-Jan,10000,Male Head,2,1,2,5,Single detached,1,1,Rented,1990-1999,700,60,Yes,Oil,0,English,9.210340372,FALSE
10-Jan,10000,Male Head,3,1,4,6,Single detached,2,1,Rented,1960-1969,500,130,No,Oil,0,English,9.210340372,FALSE
10-Jan,10000,Male Head,3,2,4,5,Single detached,2,1,Rented,2005,850,130,No,Gas,0,English,9.210340372,FALSE
10-Jan,10000,Married,2,1,3,5,Mobile home,2,1,Rented,1990-1999,350,80,Yes,Electricity,0,English,9.210340372,FALSE
10-Jan,10000,Married,4,1,4,5,Single detached,2,1,Mortgage,2000-2004,730,120,No,Wood,420,English,9.210340372,FALSE
10-Jan,10300,Married,3,0,2,6,Single detached,2,0,Mortgage,1990-1999,1400,130,No,Oil,1200,English,9.239899174,FALSE
10-Jan,10400,Female Head,3,0,4,6,Single detached,3,0,Rented,1950-1959,580,140,Yes,Gas,0,English,9.249561085,FALSE
10-Jan,10500,Female Head,3,2,3,6,Single attached,2,2,Rented,2000-2004,660,140,No,Electricity,0,Other European,9.259130536,FALSE
10-Jan,10760,Married,3,0,2,6,Single detached,2,1,Rented,1950-1959,650,100,No,Gas,0,English,9.283590834,FALSE
10-Jan,10950,Female Head,4,4,5,6,Single detached,6,0,Rented,1970-1979,800,330,Yes,Oil,0,English,9.301094735,FALSE
10-Jan,11000,Female Head,3,0,3,6,Single detached,1,1,Mortgage,1940-1949,200,80,Yes,Wood,500,English,9.305650552,FALSE
10-Jan,11000,Female Head,3,4,6,6,Mobile home,3,1,Rented,1970-1979,400,120,No,Wood,0,English,9.305650552,FALSE
10-Jan,11000,Male Head,3,2,4,6,Mobile home,2,1,Mortgage,1970-1979,230,110,Yes,Oil,60,English,9.305650552,FALSE
10-Jan,11000,Married,3,0,2,6,Mobile home,2,2,Mortgage,2000-2004,1000,160,No,Oil,600,English,9.305650552,FALSE
10-Jan,11000,Married,4,0,2,10,Single detached,0,1,Mortgage,1990-1999,10,350,No,Gas,1800,English,9.305650552,FALSE
10-Jan,11100,Female Head,2,0,2,5,Single detached,0,1,Rented,1950-1959,70,200,Yes,Gas,0,English,9.314700387,FALSE
10-Jan,11140,Married,3,0,2,5,Single detached,2,1,Mortgage,1990-1999,2100,310,No,Oil,550,English,9.318297513,FALSE
10-Jan,11200,Married,3,0,2,9,Single detached,2,1,Mortgage,Before 1939,600,60,No,Oil,700,English,9.323669057,FALSE
10-Jan,11400,Female Head,3,2,3,5,Mobile home,1,0,Rented,1990-1999,500,150,Yes,Gas,0,English,9.341368634,FALSE
10-Jan,11400,Female Head,3,2,3,8,Single detached,2,1,Mortgage,1980-1989,250,130,Yes,Coal,250,English,9.341368634,FALSE
10-Jan,11800,Female Head,4,0,5,8,Single detached,0,1,Rented,1960-1969,580,90,Yes,Gas,0,English,9.37585481,FALSE
10-Jan,11800,Female Head,5,1,4,9,Single detached,1,1,Rented,1970-1979,1000,300,Yes,Oil,0,English,9.37585481,FALSE
10-Jan,11880,Married,3,5,7,5,Mobile home,2,1,Rented,1980-1989,500,220,Yes,Oil,0,English,9.382611593,FALSE
10-Jan,12000,Female Head,3,1,4,6,Single detached,3,0,Rented,1950-1959,200,180,No,Gas,0,English,9.392661929,FALSE
10-Jan,12000,Female Head,3,2,3,4,Single detached,1,1,Mortgage,1960-1969,1400,50,No,Wood,500,English,9.392661929,FALSE
10-Jan,12000,Female Head,3,2,3,6,Single detached,1,0,Rented,Before 1939,660,250,Yes,Gas,0,English,9.392661929,FALSE
10-Jan,12000,Female Head,4,3,8,7,Single detached,2,0,Mortgage,1960-1969,510,270,No,Gas,500,English,9.392661929,FALSE
10-Jan,12000,Female Head,5,3,4,8,Single detached,1,0,Mortgage,Before 1939,220,140,Yes,Oil,400,English,9.392661929,FALSE
10-Jan,12100,Female Head,2,1,2,6,Single detached,2,0,Mortgage,Before 1939,260,70,Yes,Oil,500,English,9.400960732,FALSE
10-Jan,12100,Male Head,3,1,4,5,Single detached,2,1,Mortgage,Before 1939,350,100,Yes,Gas,400,English,9.400960732,FALSE
10-Jan,12180,Female Head,1,0,3,2,Single detached,0,2,Rented,1990-1999,1400,50,No,Other,0,Asian Pacific,9.407550541,FALSE
10-Jan,12200,Female Head,3,1,3,6,Single detached,1,1,Mortgage,1950-1959,540,70,Yes,Oil,0,English,9.409191231,FALSE
10-Jan,12200,Female Head,3,1,3,7,Single detached,2,1,Mortgage,Before 1939,370,70,No,Gas,900,English,9.409191231,FALSE
10-Jan,12200,Married,3,0,2,6,Single detached,1,0,Rented,1950-1959,700,60,No,Oil,0,English,9.409191231,FALSE
10-Jan,12300,Female Head,3,3,5,6,Mobile home,0,1,Rented,1950-1959,500,50,Yes,Oil,0,English,9.417354541,FALSE
10-Jan,12300,Married,3,0,2,6,Single detached,2,0,Mortgage,1990-1999,460,150,No,Oil,750,English,9.417354541,FALSE
10-Jan,12400,Male Head,3,0,4,4,Mobile home,1,1,Rented,1990-1999,450,140,Yes,Gas,0,English,9.425451752,FALSE
10-Jan,12400,Married,2,2,4,7,Single detached,2,1,Rented,1970-1979,1000,200,No,Electricity,0,Spanish,9.425451752,FALSE
10-Jan,12600,Married,4,0,12,6,Single detached,2,1,Mortgage,Before 1939,250,200,Yes,Oil,570,English,9.441452093,FALSE
10-Jan,12650,Married,3,0,2,6,Single attached,2,0,Mortgage,1940-1949,850,230,No,Gas,1200,Other European,9.445412494,FALSE
10-Jan,12700,Married,3,0,2,6,Single detached,1,1,Mortgage,1960-1969,250,100,Yes,Gas,0,English,9.449357272,FALSE
10-Jan,12800,Married,3,0,3,6,Mobile home,1,0,Mortgage,1970-1979,370,120,Yes,Gas,360,English,9.45720045,FALSE
10-Jan,13000,Female Head,3,1,3,10,Single detached,2,0,Rented,1940-1949,680,2,Yes,Gas,0,English,9.472704636,FALSE
10-Jan,13000,Married,4,0,2,10,Single detached,2,1,Mortgage,2000-2004,4300,200,No,Oil,2000,English,9.472704636,FALSE
10-Jan,13000,Married,8,1,6,11,Single detached,2,2,Rented,1960-1969,430,310,No,Oil,0,English,9.472704636,FALSE
10-Jan,13100,Female Head,3,1,3,6,Single detached,2,1,Mortgage,1970-1979,1300,60,No,Gas,550,English,9.480367509,FALSE
10-Jan,13370,Female Head,3,0,3,5,Mobile home,0,2,Mortgage,1970-1979,370,450,No,Oil,480,English,9.50076867,FALSE
10-Jan,13500,Married,2,0,2,5,Single detached,2,0,Rented,1970-1979,400,90,Yes,Oil,0,English,9.510444964,FALSE
10-Jan,13800,Married,2,0,2,4,Single detached,2,1,Mortgage,Before 1939,2600,90,No,Oil,150,English,9.532423871,FALSE
10-Jan,13900,Female Head,4,3,5,7,Mobile home,1,1,Rented,1990-1999,400,250,Yes,Oil,0,English,9.539644119,FALSE
10-Jan,13900,Married,2,0,2,4,Single detached,2,2,Rented,1960-1969,650,80,No,Gas,0,English,9.539644119,FALSE
10-Jan,14000,Male Head,3,0,2,6,Single detached,1,0,Mortgage,Before 1939,320,70,No,Oil,490,English,9.546812609,FALSE
10-Jan,14000,Married,2,1,3,3,Single attached,0,1,Rented,1940-1949,1400,90,Yes,Gas,0,Spanish,9.546812609,FALSE
10-Jan,14000,Married,3,0,2,7,Single detached,1,0,Mortgage,1980-1989,500,130,Yes,Wood,450,English,9.546812609,FALSE
10-Jan,14000,Married,3,2,4,7,Single detached,1,2,Rented,Before 1939,700,60,Yes,Gas,0,English,9.546812609,FALSE
10-Jan,14000,Married,4,0,2,8,Single detached,1,0,Mortgage,Before 1939,240,90,Yes,Oil,430,English,9.546812609,FALSE
10-Jan,14100,Female Head,3,1,2,8,Single detached,1,1,Mortgage,Before 1939,500,50,No,Gas,350,English,9.553930076,FALSE
10-Jan,14100,Married,3,1,5,4,Single detached,5,1,Mortgage,1960-1969,2300,420,No,Gas,0,Other European,9.553930076,FALSE
10-Jan,14200,Female Head,3,2,4,7,Single detached,2,1,Rented,1970-1979,500,120,No,Gas,0,English,9.560997244,FALSE
10-Jan,14400,Female Head,2,3,4,7,Single detached,1,1,Rented,1970-1979,950,100,No,Oil,0,Other European,9.574983486,FALSE
10-Jan,14500,Female Head,2,1,2,5,Single detached,1,1,Mortgage,1980-1989,200,90,Yes,Gas,0,English,9.581903928,FALSE
10-Jan,14500,Married,2,0,2,7,Single detached,2,1,Mortgage,1960-1969,500,180,No,Oil,600,English,9.581903928,FALSE
10-Jan,14500,Married,3,0,2,6,Single detached,3,2,Mortgage,2008,550,130,No,Gas,600,English,9.581903928,FALSE
10-Jan,14590,Female Head,3,0,3,4,Mobile home,1,1,Mortgage,1980-1989,370,90,Yes,Gas,360,Spanish,9.588091642,FALSE
10-Jan,14600,Male Head,4,3,5,7,Single detached,2,1,Rented,Before 1939,400,260,Yes,Gas,0,English,9.588776808,FALSE
10-Jan,14600,Married,3,0,2,5,Single detached,1,1,Mortgage,Before 1939,400,50,No,Gas,1000,English,9.588776808,FALSE
10-Jan,14600,Married,3,1,5,9,Mobile home,2,2,Mortgage,1990-1999,500,290,No,Oil,300,English,9.588776808,FALSE
10-Jan,14700,Married,4,3,5,7,Mobile home,1,2,Mortgage,1970-1979,460,280,Yes,Oil,80,English,9.595602773,FALSE
10-Jan,14800,Female Head,3,3,5,6,Single detached,2,1,Rented,Before 1939,350,1,No,Oil,0,English,9.60238246,FALSE
10-Jan,14800,Married,2,0,2,6,Single detached,2,0,Mortgage,1950-1959,200,180,No,Wood,450,English,9.60238246,FALSE
10-Jan,14800,Married,4,1,4,7,Single detached,2,2,Mortgage,2005,4000,140,No,Oil,900,English,9.60238246,FALSE
10-Jan,15000,Female Head,2,3,4,8,Single detached,1,1,Rented,1980-1989,700,100,Yes,Gas,0,English,9.61580548,FALSE
10-Jan,15000,Female Head,3,0,3,7,Single detached,2,1,Mortgage,Before 1939,1800,40,No,Gas,1300,English,9.61580548,FALSE
10-Jan,15000,Female Head,5,2,5,8,Single detached,1,0,Rented,1950-1959,580,160,No,Gas,0,English,9.61580548,FALSE
10-Jan,15000,Male Head,2,1,2,5,Single detached,1,1,Rented,Before 1939,440,30,Yes,Gas,0,English,9.61580548,FALSE
10-Jan,15000,Married,3,0,2,6,Single detached,2,0,Mortgage,1990-1999,1200,100,Yes,Oil,500,English,9.61580548,FALSE
10-Jan,15020,Married,3,3,5,13,Single detached,2,1,Mortgage,2007,920,150,No,Gas,600,English,9.617137925,FALSE
10-Jan,15100,Female Head,4,2,3,7,Single attached,2,1,Rented,1970-1979,760,470,Yes,Electricity,0,English,9.622450023,FALSE
10-Jan,15300,Married,2,1,3,5,Mobile home,1,1,Rented,1970-1979,400,130,Yes,Oil,0,English,9.635608107,FALSE
10-Jan,15300,Married,4,0,4,6,Single detached,3,1,Mortgage,Before 1939,390,150,Yes,Oil,1000,English,9.635608107,FALSE
10-Jan,15400,Married,3,0,3,8,Single detached,2,0,Rented,Before 1939,550,60,Yes,Oil,0,English,9.642122788,FALSE
10-Jan,15500,Female Head,3,0,2,9,Single detached,1,0,Mortgage,Before 1939,1800,120,No,Oil,950,English,9.648595303,FALSE
10-Jan,15530,Married,2,0,2,8,Single detached,2,1,Mortgage,1970-1979,300,220,No,Gas,470,English,9.650528916,FALSE
10-Jan,15590,Female Head,5,2,4,8,Single detached,2,1,Mortgage,1990-1999,1900,300,No,Electricity,1700,Spanish,9.654384962,FALSE
10-Jan,15600,Female Head,2,1,2,3,Mobile home,1,0,Rented,1980-1989,750,120,No,Oil,0,English,9.655026193,FALSE
10-Jan,15800,Female Head,3,0,3,6,Single detached,1,1,Rented,Before 1939,650,150,No,Electricity,0,English,9.667765219,FALSE
10-Jan,16000,Female Head,4,0,3,12,Single detached,2,1,Mortgage,1970-1979,680,80,No,Wood,480,English,9.680344001,FALSE
10-Jan,16000,Male Head,2,0,3,4,Single detached,1,0,Rented,Before 1939,650,140,Yes,Oil,0,English,9.680344001,FALSE
10-Jan,16100,Female Head,3,0,2,6,Single detached,1,0,Rented,1960-1969,120,40,Yes,Gas,0,English,9.686574551,FALSE
10-Jan,16100,Married,3,0,2,5,Single detached,2,0,Mortgage,2000-2004,470,130,No,Gas,1200,English,9.686574551,FALSE
10-Jan,16200,Female Head,2,0,2,4,Mobile home,2,1,Rented,1970-1979,550,70,Yes,Oil,0,English,9.692766521,FALSE
10-Jan,16300,Female Head,3,4,6,7,Single detached,2,1,Mortgage,1970-1979,670,160,Yes,Oil,630,English,9.698920387,FALSE
10-Jan,16300,Female Head,5,3,5,10,Single detached,2,1,Rented,1990-1999,950,190,Yes,Coal,0,English,9.698920387,FALSE
10-Jan,16400,Male Head,2,0,4,4,Single detached,2,1,Mortgage,1950-1959,320,160,Yes,Gas,730,English,9.705036614,FALSE
10-Jan,16630,Married,4,0,2,10,Single detached,2,2,Mortgage,Before 1939,2300,200,No,Gas,190,English,9.718963572,FALSE
10-Jan,16640,Married,3,0,3,9,Single detached,2,3,Mortgage,1980-1989,1000,130,No,Gas,780,English,9.719564714,FALSE
10-Jan,16800,Female Head,3,0,3,6,Single detached,0,0,Mortgage,1970-1979,630,340,Yes,Electricity,400,English,9.729134165,FALSE
10-Jan,16800,Male Head,3,1,3,7,Single detached,1,0,Mortgage,1970-1979,450,120,No,Wood,1000,English,9.729134165,FALSE
10-Jan,16800,Male Head,8,1,3,8,Single detached,1,1,Mortgage,Before 1939,1500,250,No,Wood,1000,English,9.729134165,FALSE
10-Jan,16800,Married,3,0,2,6,Single detached,2,1,Mortgage,Before 1939,440,290,Yes,Gas,240,English,9.729134165,FALSE
10-Jan,17000,Female Head,3,0,2,6,Single detached,0,0,Rented,1950-1959,300,260,Yes,Oil,0,English,9.740968623,FALSE
10-Jan,17000,Female Head,3,1,2,8,Single detached,1,1,Mortgage,1970-1979,1000,180,No,Oil,540,English,9.740968623,FALSE
10-Jan,17000,Female Head,5,3,4,12,Single detached,1,0,Mortgage,1970-1979,1200,300,Yes,Wood,1100,Other European,9.740968623,FALSE
10-Jan,17000,Male Head,3,1,6,7,Mobile home,2,1,Mortgage,2000-2004,690,70,Yes,Gas,400,English,9.740968623,FALSE
10-Jan,17000,Married,2,0,2,3,Single detached,1,0,Mortgage,1970-1979,300,80,No,Gas,460,English,9.740968623,FALSE
10-Jan,17000,Married,2,0,2,5,Mobile home,2,2,Mortgage,2006,1200,60,No,Wood,540,English,9.740968623,FALSE
10-Jan,17000,Married,3,2,4,8,Mobile home,2,2,Mortgage,1980-1989,500,200,No,Wood,800,English,9.740968623,FALSE
10-Jan,17000,Married,5,0,2,7,Single detached,0,0,Rented,Before 1939,580,190,Yes,Electricity,0,English,9.740968623,FALSE
10-Jan,17080,Married,8,4,12,11,Single detached,2,0,Mortgage,1990-1999,610,340,No,Wood,1000,English,9.745663467,FALSE
