"","YearMonth","TotalHeartExams"
"1",200601,362
"2",200602,436
"3",200603,451.24
"4",200604,490
"5",200605,508
"6",200606,495.321428571429
"7",200607,393
"8",200608,596
"9",200609,634
"10",200610,613
"11",200611,545
"12",200612,411
"13",200701,398
"14",200702,311
"15",200703,664
"16",200704,680
"17",200705,507
"18",200706,467
"19",200707,566
"20",200708,806
"21",200709,732
"22",200710,886
"23",200711,776
"24",200712,698
"25",200801,875
"26",200802,840
"27",200803,724
"28",200804,1115
"29",200805,997
"30",200806,775
"31",200807,886
"32",200808,1041
"33",200809,1011
"34",200810,976.307692307692
"35",200811,939
"36",200812,1013.65384615385
"37",200901,1004
"38",200902,1065
"39",200903,1263
"40",200904,962
"41",200905,1174.46666666667
"42",200906,1429
"43",200907,1205
"44",200908,890
"45",200909,1320
"46",200910,1276
"47",200911,1757
"48",200912,1710
"49",201001,1710
"50",201002,1709
"51",201003,1578
"52",201004,1604
"53",201005,1758
"54",201006,1630.36666666667
"55",201007,1457
"56",201008,1607
"57",201009,1808
"58",201010,1866
"59",201011,1934
"60",201012,2294
"61",201101,2165.83333333333
"62",201102,2334
"63",201103,1973
"64",201104,2262
"65",201105,2259
"66",201106,2217
"67",201107,2739
"68",201108,2772
"69",201109,3383
"70",201110,2869
"71",201111,2239
"72",201112,2796.86666666667
"73",201201,2789
"74",201202,3455
"75",201203,2940
"76",201204,2968
"77",201205,3466
"78",201206,3037
"79",201207,3946
"80",201208,3459
"81",201209,3446
"82",201210,3258
"83",201211,4729
"84",201212,3694
"85",201301,4610
"86",201302,4841
"87",201303,5172
"88",201304,4351
"89",201305,5347
"90",201306,4729
"91",201307,5014
"92",201308,4978
"93",201309,5008
"94",201310,6094
"95",201311,4874
"96",201312,5933
